2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.1°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.3°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.1°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.3°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.3°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.2°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.1°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.4°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.5°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.5°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.6°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.5°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.6°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.8°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in kitchen.
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.7°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #6 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 15.8°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #2 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 15.9°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in masterbedroom.
2020-12-02 2:10:10 -- SHH: Room #4 temperature changed to 15.9°C
2020-12-02 2:10:10 -- SHH: Room #7 temperature changed to 16.0°C
2020-12-02 2:10:10 -- [Edit Context] -- A.C automatically triggered in bedroom.
2020-12-02 2:10:10 -- SHH: Room #5 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #8 temperature changed to 16.2°C
2020-12-02 2:10:10 -- SHH: Room #1 temperature changed to 16.1°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.0°C
2020-12-02 2:10:10 -- SHH: Room #3 temperature changed to 16.1°C
